Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-30-EX1-OT2-UNI_A_MP	 211	 2374	 1667.88	 34.35	 38.54	 37.87	 0.00
HU-30-EX1-OT2-UNI_A_NA_N2	 68	 696	 467.64	 34.53	 38.69	 37.90	 0.00
HU-30-EX1-OT2-UNI_A_NP	 69	 1063	 562.12	 33.76	 38.68	 37.72	 0.00
HU-30-EX1-OT2-UNI_A_NS	 74	 429	 323.07	 34.78	 38.68	 37.87	 0.00
HU-30-EX1-OT2-UNI_A_PA	 160	 1187	 420.98	 35.35	 38.83	 37.97	 0.00
HU-30-EX1-OT2-UNI_A_PB1	 28	 561	 308.91	 34.55	 38.67	 37.85	 1.93
HU-30-EX1-OT2-UNI_A_PB2	 162	 1352	 461.16	 35.27	 38.72	 37.78	 0.00
HU-30-EX1-OT3-MBTA_A_HA_H3	 5	 54	 33.26	 34.30	 39.00	 37.47	 91.54
HU-30-EX1-OT3-MBTA_A_MP	 37	 315	 198.98	 33.48	 38.72	 37.58	 1.12
HU-30-EX1-OT3-MBTA_A_NA_N2	 3	 79	 49.50	 33.33	 38.83	 37.30	 37.49
HU-30-EX1-OT3-MBTA_A_NP	 9	 54	 37.04	 32.00	 38.86	 37.49	 89.59
HU-30-EX1-OT3-MBTA_A_NS	 19	 108	 68.48	 32.17	 38.84	 37.58	 24.08
HU-30-EX1-OT3-MBTA_A_PA	 1	 36	 12.74	 29.60	 39.00	 37.56	 99.95
HU-30-EX1-OT3-MBTA_A_PB2	 5	 45	 17.98	 29.50	 39.00	 37.21	 99.96
SW-m1-EX1_A_HA_H1	 5	 86	 42.53	 24.29	 39.00	 36.69	 69.22
SW-m1-EX1_A_MP	 107	 963	 695.44	 35.53	 38.46	 37.31	 0.00
SW-m1-EX1_A_NA_N2	 25	 190	 125.81	 35.11	 38.67	 37.20	 5.67
SW-m1-EX1_A_NP	 26	 144	 101.01	 33.92	 38.75	 36.85	 1.94
SW-m1-EX1_A_NS	 140	 652	 524.61	 33.97	 38.40	 37.08	 0.00
SW-m1-EX1_A_PA	 7	 41	 22.39	 29.50	 38.89	 36.49	 99.95
SW-m1-EX1_A_PB1	 4	 24	 12.53	 27.80	 39.00	 36.30	 99.96
SW-m1-EX1_A_PB2	 2	 44	 12.06	 22.67	 39.00	 36.85	 99.96
SW-m1-EX2_A_HA_H1	 47	 536	 298.33	 30.25	 38.36	 36.54	 0.18
SW-m1-EX2_A_MP	 948	 7889	 5849.61	 35.37	 38.36	 37.28	 0.00
SW-m1-EX2_A_NA_N2	 248	 1670	 1164.07	 35.50	 38.51	 37.27	 0.00
SW-m1-EX2_A_NP	 139	 891	 686.60	 34.94	 38.45	 37.05	 0.00
SW-m1-EX2_A_NS	 1147	 5860	 4593.34	 33.76	 38.29	 37.14	 0.00
SW-m1-EX2_A_PA	 87	 310	 161.72	 34.87	 38.61	 37.08	 0.00
SW-m1-EX2_A_PB1	 39	 202	 123.52	 34.03	 38.60	 37.14	 1.63
SW-m1-EX2_A_PB2	 56	 394	 117.16	 33.53	 38.56	 36.91	 0.00
SW-m2-EX1_A_HA_H1	 5	 67	 38.38	 32.16	 38.82	 36.98	 78.26
SW-m2-EX1_A_MP	 97	 895	 647.42	 34.96	 38.51	 37.26	 0.00
SW-m2-EX1_A_NA_N1	 12	 151	 93.04	 33.53	 38.69	 37.00	 14.95
SW-m2-EX1_A_NP	 55	 412	 304.01	 33.16	 38.50	 36.84	 0.00
SW-m2-EX1_A_NS	 107	 561	 436.21	 34.75	 38.33	 36.90	 0.00
SW-m2-EX1_A_PA	 9	 89	 54.20	 33.33	 39.00	 36.89	 36.99
SW-m2-EX1_A_PB1	 10	 98	 62.08	 33.82	 38.87	 37.05	 26.15
