Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
SW-27-EX1-OT1-MBT2_A_PB1	 10	 2617	 373.73	 32.25	 39.10	 37.75	 77.10
SW-27-EX1-OT1-MBT2_A_PB2	 169	 921	 312.71	 34.86	 38.86	 37.85	 0.00
SW-27-EX1-OT1-UNI_A_HA_H1	 183	 1643	 1080.82	 36.02	 38.84	 38.04	 0.00
SW-27-EX1-OT1-UNI_A_MP	 985	 11457	 8151.24	 34.19	 38.70	 38.13	 0.00
SW-27-EX1-OT1-UNI_A_NA_N1	 136	 1668	 1202.49	 36.27	 38.84	 38.13	 0.00
SW-27-EX1-OT1-UNI_A_NP	 408	 5056	 3801.00	 33.25	 38.74	 37.99	 0.00
SW-27-EX1-OT1-UNI_A_NS	 1083	 9900	 7211.04	 33.37	 38.75	 37.82	 0.00
SW-27-EX1-OT1-UNI_A_PA	 301	 2884	 869.73	 33.13	 38.86	 37.95	 0.00
SW-27-EX1-OT1-UNI_A_PB1	 82	 4460	 682.12	 35.65	 39.00	 38.12	 0.00
SW-27-EX1-OT1-UNI_A_PB2	 358	 1303	 604.48	 35.52	 38.84	 38.03	 0.00
SW-27-EX1-OT2-MBT_A_HA_H1	 383	 2712	 1035.44	 36.19	 38.87	 38.10	 0.00
SW-27-EX1-OT2-MBT_A_MP	 976	 8749	 6323.75	 33.38	 38.65	 38.10	 0.00
SW-27-EX1-OT2-MBT_A_NA_N1	 387	 2980	 1863.43	 36.27	 38.78	 38.14	 0.00
SW-27-EX1-OT2-MBT_A_NP	 400	 3561	 2798.01	 32.79	 38.83	 38.00	 0.00
SW-27-EX1-OT2-MBT_A_NS	 1264	 8216	 6204.45	 33.30	 38.75	 37.80	 0.00
SW-27-EX1-OT2-MBT_A_PA	 243	 3946	 971.34	 34.28	 38.83	 37.97	 0.00
SW-27-EX1-OT2-MBT_A_PB1	 94	 3058	 509.88	 35.27	 38.96	 38.14	 0.00
SW-27-EX1-OT2-MBT_A_PB2	 504	 2238	 792.88	 36.03	 38.94	 38.02	 0.00
SW-27-EX1-OT2-UNI_A_HA_H1	 112	 3938	 1568.14	 35.66	 38.89	 38.16	 0.00
SW-27-EX1-OT2-UNI_A_MP	 625	 8565	 6019.18	 33.89	 38.69	 38.14	 0.00
SW-27-EX1-OT2-UNI_A_NA_N1	 172	 2606	 1675.23	 36.20	 38.82	 38.21	 0.00
SW-27-EX1-OT2-UNI_A_NP	 509	 6006	 4227.72	 33.07	 38.78	 38.04	 0.00
SW-27-EX1-OT2-UNI_A_NS	 707	 7780	 5653.91	 33.24	 38.77	 37.82	 0.00
SW-27-EX1-OT2-UNI_A_PA	 209	 2113	 652.97	 33.90	 38.86	 37.98	 0.00
SW-27-EX1-OT2-UNI_A_PB1	 288	 1541	 506.34	 35.88	 38.95	 38.27	 0.00
SW-27-EX1-OT2-UNI_A_PB2	 287	 1549	 938.37	 35.76	 38.80	 38.06	 0.00
SW-27-EX2-OT1-MBT_A_HA_H1	 141	 762	 540.57	 36.12	 38.84	 38.09	 0.00
SW-27-EX2-OT1-MBT_A_MP	 1322	 10695	 7737.60	 33.61	 38.65	 38.11	 0.00
SW-27-EX2-OT1-MBT_A_NA_N1	 185	 3549	 1340.21	 36.20	 38.85	 38.25	 0.00
SW-27-EX2-OT1-MBT_A_NP	 349	 2689	 2086.30	 32.90	 38.78	 37.97	 0.00
SW-27-EX2-OT1-MBT_A_NS	 949	 7292	 5567.89	 33.34	 38.73	 37.77	 0.00
SW-27-EX2-OT1-MBT_A_PA	 99	 1372	 414.40	 33.88	 38.82	 37.97	 0.00
SW-27-EX2-OT1-MBT_A_PB1	 16	 2296	 355.36	 34.64	 39.00	 38.06	 62.68
SW-27-EX2-OT1-MBT_A_PB2	 199	 947	 350.72	 34.99	 38.96	 38.03	 0.00
SW-27-EX2-OT1-UNI_A_HA_H1	 89	 1258	 1026.70	 34.73	 38.83	 38.01	 0.00
SW-27-EX2-OT1-UNI_A_MP	 907	 8482	 5995.93	 33.42	 38.64	 38.01	 0.00
SW-27-EX2-OT1-UNI_A_NA_N1	 69	 1157	 775.42	 33.42	 38.83	 38.04	 0.00
SW-27-EX2-OT1-UNI_A_NP	 398	 4361	 3183.08	 32.94	 38.64	 37.90	 0.00
SW-27-EX2-OT1-UNI_A_NS	 842	 7611	 5412.78	 31.68	 38.73	 37.60	 0.00
SW-27-EX2-OT1-UNI_A_PA	 550	 2623	 1113.09	 33.27	 38.87	 37.88	 0.00
SW-27-EX2-OT1-UNI_A_PB1	 231	 1667	 424.63	 36.15	 38.92	 38.18	 0.00
SW-27-EX2-OT1-UNI_A_PB2	 374	 1924	 1560.18	 35.42	 38.72	 37.92	 0.00
SW-27-EX2-OT2-MBT_A_HA_H1	 313	 2348	 1520.64	 35.71	 38.77	 38.04	 0.00
SW-27-EX2-OT2-MBT_A_MP	 905	 7987	 5754.50	 33.69	 38.66	 38.10	 0.00
SW-27-EX2-OT2-MBT_A_NA_N1	 363	 2981	 1989.03	 35.59	 38.81	 38.06	 0.00
SW-27-EX2-OT2-MBT_A_NP	 416	 4059	 3030.35	 33.04	 38.74	 37.98	 0.00
SW-27-EX2-OT2-MBT_A_NS	 1087	 6971	 5244.07	 32.93	 38.73	 37.74	 0.00
SW-27-EX2-OT2-MBT_A_PA	 565	 2842	 1099.85	 34.19	 38.87	 37.94	 0.00
SW-27-EX2-OT2-MBT_A_PB1	 139	 2248	 447.60	 35.09	 38.93	 38.14	 0.00
SW-27-EX2-OT2-MBT_A_PB2	 527	 1643	 1037.38	 35.54	 38.82	 37.99	 0.00
SW-27-EX2-OT2-UNI_A_HA_H1	 185	 3833	 2107.78	 35.30	 38.84	 38.08	 0.00
SW-27-EX2-OT2-UNI_A_MP	 516	 5882	 4214.01	 33.66	 38.67	 38.04	 0.00
SW-27-EX2-OT2-UNI_A_NA_N1	 199	 2671	 1908.92	 35.36	 38.78	 38.12	 0.00
SW-27-EX2-OT2-UNI_A_NP	 433	 5047	 3412.59	 33.17	 38.69	 37.97	 0.00
SW-27-EX2-OT2-UNI_A_NS	 529	 5675	 4153.95	 33.13	 38.76	 37.72	 0.00
SW-27-EX2-OT2-UNI_A_PA	 458	 1877	 978.19	 34.00	 38.83	 37.93	 0.00
SW-27-EX2-OT2-UNI_A_PB1	 225	 1186	 521.70	 36.04	 38.84	 38.18	 0.00
SW-27-EX2-OT2-UNI_A_PB2	 324	 2387	 1730.72	 35.20	 38.71	 37.94	 0.00
AV-18-EX1-OT1-MBT_A_HA_H5	 164	 1278	 888.34	 35.40	 38.87	 38.17	 0.00
AV-18-EX1-OT1-MBT_A_MP	 1004	 6917	 5040.82	 33.20	 38.65	 38.09	 0.00
AV-18-EX1-OT1-MBT_A_NA_N1	 208	 1744	 1284.46	 34.13	 38.81	 38.07	 0.00
AV-18-EX1-OT1-MBT_A_NP	 281	 2646	 1928.51	 33.02	 38.77	 38.01	 0.00
AV-18-EX1-OT1-MBT_A_NS	 968	 4798	 3714.45	 34.21	 38.82	 38.18	 0.00
AV-18-EX1-OT1-MBT_A_PA	 241	 934	 581.21	 34.28	 38.91	 38.06	 0.00
AV-18-EX1-OT1-MBT_A_PB1	 137	 520	 306.76	 35.72	 38.89	 38.21	 0.00
AV-18-EX1-OT1-MBT_A_PB2	 311	 796	 444.22	 34.61	 38.89	 37.99	 0.00
AV-18-EX1-OT1-MBT2_A_HA_H5	 100	 746	 529.11	 35.74	 38.83	 38.09	 0.00
AV-18-EX1-OT1-MBT2_A_MP	 872	 6253	 4469.78	 33.17	 38.64	 38.02	 0.00
AV-18-EX1-OT1-MBT2_A_NA_N1	 152	 1457	 1071.44	 34.57	 38.85	 38.02	 0.00
AV-18-EX1-OT1-MBT2_A_NP	 176	 1796	 1336.48	 32.76	 38.66	 37.92	 0.00
AV-18-EX1-OT1-MBT2_A_NS	 790	 4106	 3140.82	 34.33	 38.84	 38.12	 0.00
AV-18-EX1-OT1-MBT2_A_PA	 210	 766	 445.91	 34.54	 38.83	 37.96	 0.00
AV-18-EX1-OT1-MBT2_A_PB1	 110	 373	 261.42	 35.04	 38.84	 38.15	 0.00
AV-18-EX1-OT1-MBT2_A_PB2	 271	 787	 459.10	 34.42	 38.83	 37.96	 0.00
AV-18-EX1-OT1-UNI_A_HA_H5	 102	 6471	 1880.41	 35.58	 38.89	 38.17	 0.00
AV-18-EX1-OT1-UNI_A_MP	 198	 2407	 1668.56	 33.72	 38.75	 38.10	 0.00
AV-18-EX1-OT1-UNI_A_NA_N1	 44	 492	 382.67	 35.55	 38.89	 38.10	 0.35
AV-18-EX1-OT1-UNI_A_NP	 76	 1424	 1060.96	 33.28	 38.83	 38.01	 0.00
AV-18-EX1-OT1-UNI_A_NS	 322	 2540	 1868.33	 34.57	 38.84	 38.19	 0.00
AV-18-EX1-OT1-UNI_A_PA	 284	 1037	 621.89	 34.40	 38.82	 38.01	 0.00
AV-18-EX1-OT1-UNI_A_PB1	 110	 634	 462.77	 35.27	 38.81	 38.18	 0.00
AV-18-EX1-OT1-UNI_A_PB2	 214	 756	 470.48	 34.58	 38.89	 38.01	 0.00
AV-18-EX1-OT2-MBT_A_HA_H5	 4	 65	 32.47	 32.08	 39.17	 37.91	 79.71
AV-18-EX1-OT2-MBT_A_MP	 39	 380	 260.25	 31.67	 38.62	 37.81	 0.81
AV-18-EX1-OT2-MBT_A_NA_N1	 2	 72	 43.62	 27.00	 39.00	 37.68	 51.38
AV-18-EX1-OT2-MBT_A_NP	 14	 131	 92.29	 31.50	 38.85	 37.86	 17.62
AV-18-EX1-OT2-MBT_A_NS	 74	 309	 237.36	 32.92	 38.78	 37.93	 0.00
AV-18-EX1-OT2-MBT_A_PA	 9	 45	 25.02	 32.53	 39.00	 37.96	 99.95
AV-18-EX1-OT2-MBT_A_PB1	 1	 13	 6.53	 29.50	 39.29	 38.14	 99.96
AV-18-EX1-OT2-MBT_A_PB2	 7	 30	 19.93	 33.42	 39.06	 37.90	 99.96
AV-18-EX1-OT2-UNI_A_HA_H5	 4	 1258	 364.52	 34.38	 39.00	 38.04	 29.33
AV-18-EX1-OT2-UNI_A_MP	 26	 283	 188.46	 32.08	 38.63	 37.77	 1.32
AV-18-EX1-OT2-UNI_A_NA_N1	 26	 383	 271.45	 33.87	 38.82	 37.78	 2.76
AV-18-EX1-OT2-UNI_A_NP	 25	 483	 356.76	 32.27	 38.75	 37.81	 0.40
AV-18-EX1-OT2-UNI_A_NS	 53	 485	 350.68	 33.26	 38.87	 37.91	 0.00
AV-18-EX1-OT2-UNI_A_PA	 16	 119	 62.84	 31.21	 38.81	 37.60	 37.31
AV-18-EX1-OT2-UNI_A_PB1	 1	 68	 36.84	 33.36	 39.33	 37.93	 56.18
AV-18-EX1-OT2-UNI_A_PB2	 19	 97	 50.32	 33.12	 38.97	 37.81	 56.03
AV-18-EX2-OT1-MBT_A_HA_H5	 451	 2814	 2092.40	 35.11	 38.77	 38.12	 0.00
AV-18-EX2-OT1-MBT_A_MP	 2491	 18540	 13238.60	 33.32	 38.65	 38.06	 0.00
AV-18-EX2-OT1-MBT_A_NA_N1	 361	 3776	 2748.62	 34.43	 38.79	 38.02	 0.00
AV-18-EX2-OT1-MBT_A_NP	 433	 5167	 3795.66	 33.13	 38.71	 37.96	 0.00
AV-18-EX2-OT1-MBT_A_NS	 2303	 11354	 8783.55	 34.22	 38.77	 38.15	 0.00
AV-18-EX2-OT1-MBT_A_PA	 575	 1955	 1465.99	 34.37	 38.85	 37.95	 0.00
AV-18-EX2-OT1-MBT_A_PB1	 284	 1047	 786.16	 35.76	 38.77	 38.13	 0.00
AV-18-EX2-OT1-MBT_A_PB2	 465	 1386	 954.94	 33.97	 38.77	 37.93	 0.00
AV-18-EX2-OT1-MBT2_A_HA_H5	 201	 1091	 816.72	 34.81	 38.73	 37.96	 0.00
AV-18-EX2-OT1-MBT2_A_MP	 1069	 8054	 5716.24	 32.87	 38.59	 37.95	 0.00
AV-18-EX2-OT1-MBT2_A_NA_N1	 172	 1775	 1319.89	 33.74	 38.79	 37.86	 0.00
AV-18-EX2-OT1-MBT2_A_NP	 157	 1976	 1471.25	 32.47	 38.63	 37.79	 0.00
AV-18-EX2-OT1-MBT2_A_NS	 1037	 4933	 3913.21	 33.61	 38.80	 38.08	 0.00
AV-18-EX2-OT1-MBT2_A_PA	 394	 1233	 903.33	 34.10	 38.78	 37.85	 0.00
AV-18-EX2-OT1-MBT2_A_PB1	 209	 697	 525.75	 34.89	 38.83	 37.97	 0.00
AV-18-EX2-OT1-MBT2_A_PB2	 295	 732	 582.64	 34.23	 38.78	 37.77	 0.00
AV-18-EX2-OT1-UNI_A_HA_H5	 195	 9953	 3308.18	 35.38	 38.89	 38.22	 0.00
AV-18-EX2-OT1-UNI_A_MP	 447	 4894	 3394.00	 33.67	 38.67	 38.07	 0.00
AV-18-EX2-OT1-UNI_A_NA_N1	 65	 912	 693.86	 34.95	 38.86	 38.09	 0.00
AV-18-EX2-OT1-UNI_A_NP	 164	 2874	 2161.10	 33.20	 38.73	 37.98	 0.00
AV-18-EX2-OT1-UNI_A_NS	 457	 3369	 2475.83	 34.39	 38.84	 38.14	 0.00
AV-18-EX2-OT1-UNI_A_PA	 403	 2320	 1662.17	 34.68	 38.91	 38.01	 0.00
AV-18-EX2-OT1-UNI_A_PB1	 209	 1501	 1150.75	 35.61	 38.75	 38.14	 0.00
AV-18-EX2-OT1-UNI_A_PB2	 472	 1801	 1399.55	 34.61	 38.80	 37.97	 0.00
AV-18-EX2-OT2-MBT_A_HA_H5	 181	 1230	 779.41	 33.52	 38.79	 37.82	 0.00
AV-18-EX2-OT2-MBT_A_MP	 589	 4471	 3341.62	 32.46	 38.49	 37.74	 0.00
AV-18-EX2-OT2-MBT_A_NA_N1	 112	 1442	 980.66	 32.46	 38.70	 37.61	 0.00
AV-18-EX2-OT2-MBT_A_NP	 205	 3335	 2316.01	 31.96	 38.58	 37.62	 0.00
AV-18-EX2-OT2-MBT_A_NS	 687	 3783	 2812.11	 32.64	 38.71	 37.91	 0.00
AV-18-EX2-OT2-MBT_A_PA	 220	 1301	 917.50	 32.61	 38.74	 37.62	 0.00
AV-18-EX2-OT2-MBT_A_PB1	 96	 605	 458.16	 32.88	 38.63	 37.72	 0.00
AV-18-EX2-OT2-MBT_A_PB2	 177	 900	 685.12	 33.42	 38.79	 37.56	 0.00
AV-18-EX2-OT2-UNI_A_HA_H5	 44	 5007	 1480.36	 34.22	 38.84	 38.02	 0.41
AV-18-EX2-OT2-UNI_A_MP	 324	 3843	 2767.68	 32.81	 38.57	 37.88	 0.00
AV-18-EX2-OT2-UNI_A_NA_N1	 122	 2303	 1597.61	 33.16	 38.77	 37.81	 0.00
AV-18-EX2-OT2-UNI_A_NP	 274	 4356	 3247.44	 32.87	 38.64	 37.82	 0.00
AV-18-EX2-OT2-UNI_A_NS	 347	 2881	 2195.28	 32.70	 38.75	 38.00	 0.00
AV-18-EX2-OT2-UNI_A_PA	 203	 1647	 1140.48	 33.37	 38.77	 37.78	 0.00
AV-18-EX2-OT2-UNI_A_PB1	 40	 1552	 793.32	 33.47	 38.73	 37.95	 1.10
AV-18-EX2-OT2-UNI_A_PB2	 231	 1306	 959.27	 33.62	 38.75	 37.75	 0.00
AV-19-EX1-OT1-MBT_A_HA_H5	 234	 1493	 1062.26	 34.06	 38.80	 37.99	 0.00
AV-19-EX1-OT1-MBT_A_MP	 1400	 9799	 7279.22	 33.13	 38.61	 38.00	 0.00
AV-19-EX1-OT1-MBT_A_NA_N1	 190	 2215	 1535.28	 34.01	 38.76	 37.91	 0.00
AV-19-EX1-OT1-MBT_A_NP	 402	 4693	 3230.85	 32.70	 38.76	 37.92	 0.00
AV-19-EX1-OT1-MBT_A_NS	 1741	 9228	 7189.93	 33.02	 38.78	 38.07	 0.00
AV-19-EX1-OT1-MBT_A_PA	 264	 1389	 798.05	 34.11	 39.00	 37.97	 0.00
AV-19-EX1-OT1-MBT_A_PB1	 250	 1933	 751.89	 33.31	 38.76	 37.99	 0.00
AV-19-EX1-OT1-MBT_A_PB2	 104	 4224	 677.67	 35.12	 39.10	 38.05	 0.00
AV-19-EX1-OT1-MBT2_A_HA_H5	 160	 1267	 861.14	 33.12	 38.61	 37.59	 0.00
AV-19-EX1-OT1-MBT2_A_MP	 1927	 11446	 8729.94	 32.26	 38.47	 37.68	 0.00
AV-19-EX1-OT1-MBT2_A_NA_N1	 196	 2232	 1463.34	 32.75	 38.53	 37.58	 0.00
AV-19-EX1-OT1-MBT2_A_NP	 310	 3894	 2675.25	 31.99	 38.47	 37.47	 0.00
AV-19-EX1-OT1-MBT2_A_NS	 1741	 9084	 6888.95	 32.32	 38.64	 37.75	 0.00
AV-19-EX1-OT1-MBT2_A_PA	 254	 983	 618.81	 33.63	 39.00	 37.55	 0.00
AV-19-EX1-OT1-MBT2_A_PB1	 269	 2829	 997.26	 32.90	 38.62	 37.56	 0.00
AV-19-EX1-OT1-MBT2_A_PB2	 38	 1062	 217.81	 34.46	 39.02	 37.63	 5.48
AV-19-EX1-OT1-UNI_A_HA_H5	 222	 3350	 1968.25	 33.80	 38.79	 37.87	 0.00
AV-19-EX1-OT1-UNI_A_MP	 594	 6201	 4482.90	 33.04	 38.57	 37.86	 0.00
AV-19-EX1-OT1-UNI_A_NA_N1	 88	 1574	 1060.28	 33.73	 38.69	 37.79	 0.00
AV-19-EX1-OT1-UNI_A_NP	 216	 4511	 3030.92	 32.73	 38.58	 37.69	 0.00
AV-19-EX1-OT1-UNI_A_NS	 812	 6508	 5011.32	 33.01	 38.74	 37.93	 0.00
AV-19-EX1-OT1-UNI_A_PA	 344	 1959	 1299.52	 33.45	 39.05	 37.72	 0.00
AV-19-EX1-OT1-UNI_A_PB1	 192	 2291	 920.36	 32.96	 38.64	 37.85	 0.00
AV-19-EX1-OT1-UNI_A_PB2	 170	 1716	 564.23	 35.12	 38.98	 37.81	 0.00
AV-19-EX1-OT2-MBT_A_HA_H5	 190	 1488	 879.14	 34.44	 38.78	 37.76	 0.00
AV-19-EX1-OT2-MBT_A_MP	 615	 4749	 3451.59	 32.51	 38.48	 37.78	 0.00
AV-19-EX1-OT2-MBT_A_NA_N1	 151	 2067	 1387.74	 34.27	 38.67	 37.76	 0.00
AV-19-EX1-OT2-MBT_A_NP	 346	 4735	 3335.33	 31.79	 38.69	 37.59	 0.00
AV-19-EX1-OT2-MBT_A_NS	 999	 6227	 4818.69	 32.48	 38.64	 37.80	 0.00
AV-19-EX1-OT2-MBT_A_PA	 379	 1188	 899.39	 33.70	 38.95	 37.62	 0.00
AV-19-EX1-OT2-MBT_A_PB1	 140	 813	 452.19	 33.27	 38.64	 37.68	 0.00
AV-19-EX1-OT2-MBT_A_PB2	 192	 2230	 525.53	 35.16	 39.05	 37.78	 0.00
AV-19-EX1-OT2-UNI_A_HA_H5	 171	 5124	 2008.96	 35.42	 38.88	 38.13	 0.00
AV-19-EX1-OT2-UNI_A_MP	 299	 3691	 2618.26	 33.31	 38.63	 38.05	 0.00
AV-19-EX1-OT2-UNI_A_NA_N1	 197	 3452	 2408.18	 35.03	 38.80	 38.08	 0.00
AV-19-EX1-OT2-UNI_A_NP	 300	 5484	 4024.36	 33.00	 38.82	 37.97	 0.00
AV-19-EX1-OT2-UNI_A_NS	 478	 4481	 3341.12	 33.36	 38.78	 38.09	 0.00
AV-19-EX1-OT2-UNI_A_PA	 237	 1439	 1049.67	 34.74	 38.99	 38.00	 0.00
AV-19-EX1-OT2-UNI_A_PB1	 39	 3855	 1439.80	 34.10	 38.72	 38.06	 0.66
AV-19-EX1-OT2-UNI_A_PB2	 233	 1405	 489.28	 35.68	 38.92	 38.12	 0.00
AV-19-EX2-OT1-MBT_A_HA_H5	 210	 1714	 1169.78	 33.27	 38.65	 37.66	 0.00
AV-19-EX2-OT1-MBT_A_MP	 1178	 6927	 5425.58	 32.59	 38.51	 37.77	 0.00
AV-19-EX2-OT1-MBT_A_NA_N1	 138	 1356	 938.75	 32.17	 38.62	 37.60	 0.00
AV-19-EX2-OT1-MBT_A_NP	 266	 3188	 2079.24	 32.41	 38.54	 37.56	 0.00
AV-19-EX2-OT1-MBT_A_NS	 1804	 8522	 6423.03	 32.57	 38.72	 37.83	 0.00
AV-19-EX2-OT1-MBT_A_PA	 201	 1011	 636.40	 33.10	 38.99	 37.64	 0.00
AV-19-EX2-OT1-MBT_A_PB1	 447	 2854	 1129.18	 32.45	 38.52	 37.69	 0.00
AV-19-EX2-OT1-MBT_A_PB2	 51	 1960	 324.70	 34.28	 39.06	 37.77	 0.00
AV-19-EX2-OT1-MBT2_A_HA_H5	 223	 1620	 1101.64	 33.00	 38.71	 37.68	 0.00
AV-19-EX2-OT1-MBT2_A_MP	 2434	 13793	 10567.80	 32.35	 38.50	 37.78	 0.00
AV-19-EX2-OT1-MBT2_A_NA_N1	 130	 1520	 1038.89	 32.87	 38.63	 37.69	 0.00
AV-19-EX2-OT1-MBT2_A_NP	 233	 2971	 2017.18	 31.75	 38.52	 37.55	 0.00
AV-19-EX2-OT1-MBT2_A_NS	 2561	 12585	 9446.12	 32.46	 38.69	 37.84	 0.00
AV-19-EX2-OT1-MBT2_A_PA	 183	 733	 517.54	 33.07	 39.00	 37.71	 0.00
AV-19-EX2-OT1-MBT2_A_PB1	 472	 5315	 1842.78	 32.68	 38.54	 37.71	 0.00
AV-19-EX2-OT1-MBT2_A_PB2	 23	 836	 151.62	 34.67	 38.97	 37.88	 47.04
AV-19-EX2-OT1-UNI_A_HA_H5	 221	 3476	 1983.03	 33.63	 38.78	 37.92	 0.00
AV-19-EX2-OT1-UNI_A_MP	 687	 6272	 4514.44	 32.62	 38.51	 37.83	 0.00
AV-19-EX2-OT1-UNI_A_NA_N1	 58	 847	 566.77	 33.83	 38.76	 37.88	 0.00
AV-19-EX2-OT1-UNI_A_NP	 152	 2946	 2032.07	 32.84	 38.56	 37.71	 0.00
AV-19-EX2-OT1-UNI_A_NS	 956	 7157	 5421.93	 33.13	 38.83	 37.90	 0.00
AV-19-EX2-OT1-UNI_A_PA	 372	 1742	 1299.06	 34.35	 38.96	 37.82	 0.00
AV-19-EX2-OT1-UNI_A_PB1	 231	 2570	 1194.46	 32.64	 38.60	 37.85	 0.00
AV-19-EX2-OT1-UNI_A_PB2	 184	 1728	 483.40	 35.36	 38.88	 37.92	 0.00
AV-19-EX2-OT2-MBT_A_HA_H5	 275	 2674	 1546.62	 34.60	 38.80	 38.16	 0.00
AV-19-EX2-OT2-MBT_A_MP	 1331	 9049	 6665.18	 32.89	 38.62	 38.05	 0.00
AV-19-EX2-OT2-MBT_A_NA_N1	 234	 2593	 1566.03	 34.20	 38.78	 38.08	 0.00
AV-19-EX2-OT2-MBT_A_NP	 346	 4914	 3474.14	 32.66	 38.79	 37.99	 0.00
AV-19-EX2-OT2-MBT_A_NS	 2064	 12374	 9233.04	 32.98	 38.79	 38.09	 0.00
AV-19-EX2-OT2-MBT_A_PA	 393	 1300	 913.68	 34.58	 38.98	 38.12	 0.00
AV-19-EX2-OT2-MBT_A_PB1	 239	 2264	 851.72	 33.79	 38.85	 38.11	 0.00
AV-19-EX2-OT2-MBT_A_PB2	 113	 4012	 664.55	 35.97	 39.00	 38.23	 0.00
AV-19-EX2-OT2-UNI_A_HA_H5	 250	 5937	 2475.31	 35.22	 38.83	 38.07	 0.00
AV-19-EX2-OT2-UNI_A_MP	 425	 4881	 3531.61	 33.14	 38.61	 38.03	 0.00
AV-19-EX2-OT2-UNI_A_NA_N1	 178	 2936	 2127.74	 34.18	 38.78	 38.00	 0.00
AV-19-EX2-OT2-UNI_A_NP	 261	 4806	 3472.80	 33.06	 38.74	 37.91	 0.00
AV-19-EX2-OT2-UNI_A_NS	 751	 6130	 4623.13	 33.39	 38.77	 38.08	 0.00
AV-19-EX2-OT2-UNI_A_PA	 454	 2533	 1816.64	 34.80	 38.77	 37.95	 0.00
AV-19-EX2-OT2-UNI_A_PB1	 104	 3646	 1671.55	 34.19	 38.66	 38.04	 0.00
AV-19-EX2-OT2-UNI_A_PB2	 211	 1414	 473.82	 35.38	 38.93	 38.10	 0.00
AV-24-EX1-OT1-MBT_A_MP	 9	 82	 52.57	 31.08	 39.00	 38.16	 41.51
AV-24-EX1-OT1-MBT_A_NA_N1	 10	 121	 87.70	 34.93	 38.98	 38.14	 10.77
AV-24-EX1-OT1-MBT_A_NP	 5	 32	 19.52	 32.71	 39.00	 37.95	 99.93
AV-24-EX1-OT1-MBT_A_NS	 5	 36	 23.98	 32.17	 39.00	 37.91	 99.88
AV-24-EX1-OT1-MBT_A_PA	 6	 27	 19.05	 33.00	 39.09	 38.31	 99.76
AV-24-EX1-OT1-MBT2_A_MP	 19	 151	 100.34	 33.32	 38.87	 38.07	 10.88
AV-24-EX1-OT1-MBT2_A_NA_N1	 1	 8	 3.81	 30.33	 40.00	 38.52	 99.93
AV-24-EX1-OT1-MBT2_A_NP	 2	 36	 17.74	 34.00	 39.05	 38.06	 99.93
AV-24-EX1-OT1-MBT2_A_NS	 15	 113	 82.82	 34.90	 39.00	 38.19	 12.40
AV-24-EX1-OT1-MBT2_A_PB2	 11	 26	 19.40	 36.27	 39.08	 38.64	 99.67
AV-24-EX1-OT1-UNI_A_MP	 1	 33	 16.90	 15.50	 39.00	 37.53	 99.90
AV-24-EX1-OT1-UNI_A_NP	 2	 11	 5.36	 27.50	 39.17	 37.91	 99.93
AV-24-EX1-OT1-UNI_A_NS	 1	 16	 10.47	 28.00	 39.12	 38.23	 99.87
AV-24-EX2-OT1-MBT_A_MP	 125	 1130	 769.00	 33.46	 38.74	 38.01	 0.00
AV-24-EX2-OT1-MBT_A_NS	 126	 608	 464.40	 35.28	 38.85	 38.12	 0.00
AV-24-EX2-OT1-MBT_A_PB2	 7	 29	 21.32	 37.06	 39.00	 38.47	 99.68
AV-24-EX2-OT1-MBT2_A_MP	 17	 190	 125.94	 33.53	 38.90	 38.14	 7.93
AV-24-EX2-OT1-MBT2_A_NS	 7	 58	 36.98	 35.50	 39.04	 38.21	 88.08
AV-24-EX2-OT1-MBT2_A_PB1	 1	 65	 24.49	 36.00	 39.11	 38.75	 76.50
AV-24-EX2-OT1-MBT2_A_PB2	 0	 266	 174.81	 -33.00	 39.02	 38.17	 0.93
AV-24-EX2-OT1-UNI_A_NS	 34	 376	 246.61	 35.42	 38.92	 38.25	 1.43
AV-24-EX2-OT1-UNI_A_PA	 25	 119	 80.83	 35.38	 38.98	 38.41	 24.20
AV-24-EX2-OT1-UNI_A_PB2	 6	 92	 64.61	 37.50	 39.03	 38.58	 17.60
AV-24-EX2-OT2-MBT_A_NS	 1	 5	 3.56	 24.00	 39.50	 38.15	 99.88
AV-25-EX1-OT1-MBT_A_HA_H16	 33	 183	 141.60	 35.29	 38.87	 38.11	 1.59
AV-25-EX1-OT1-MBT_A_MP	 877	 5923	 4473.40	 34.50	 38.72	 38.16	 0.00
AV-25-EX1-OT1-MBT_A_NA_N3	 159	 1299	 957.26	 35.19	 38.74	 38.14	 0.00
AV-25-EX1-OT1-MBT_A_NP	 89	 245	 167.19	 33.55	 38.91	 38.17	 0.00
AV-25-EX1-OT1-MBT_A_NS	 1088	 4580	 3520.36	 35.02	 38.79	 38.28	 0.00
AV-25-EX1-OT1-MBT_A_PA	 16	 719	 139.32	 35.29	 39.06	 38.10	 63.01
AV-25-EX1-OT1-MBT_A_PB1	 30	 218	 74.69	 35.80	 39.03	 38.25	 50.55
AV-25-EX1-OT1-MBT_A_PB2	 3	 322	 61.33	 30.00	 39.17	 38.00	 72.51
AV-25-EX1-OT1-MBT2_A_HA_H16	 6	 41	 29.77	 36.16	 39.11	 38.43	 99.94
